,0,1,2,3,4,5,6,7,8,9
KNN,0.757918552036,0.741584852735,0.686795491143,0.584615384615,0.770531400966,0.681818181818,0.614236111111,0.61137254902,0.539562289562,0.681405895692
MLP,0.806561085973,0.789971949509,0.68961352657,0.525384615385,0.810789049919,0.681818181818,0.674305555556,0.612549019608,0.571548821549,0.716553287982
SVM,0.768099547511,0.768232819074,0.658615136876,0.623076923077,0.842190016103,0.640151515152,0.678819444444,0.670980392157,0.548821548822,0.691609977324
LR,0.797134238311,0.79523141655,0.714573268921,0.644615384615,0.838566827697,0.708333333333,0.705555555556,0.661960784314,0.639730639731,0.784202569917
Arbol,0.747737556561,0.762622720898,0.624798711755,0.624615384615,0.717793880837,0.700757575758,0.732638888889,0.681960784314,0.525252525253,0.667422524565
